HDO-kategori,Tema,Tekst,Løfte-ID,Partier,Hvem
Familie og likestilling,Kontantsstøtte,Beholde kontantstøtten.,60166 / 62032 / 61451,H / MDG / Sp ,Tiina
Familie og likestilling,Kontantsstøtte,"Avvikle, men gi ventestøtte til de som ikke har fått barnehageplass ved fyllte 1 år.",57076 / 59402 / 58086,A / SV / V,Tiina
Familie og likestilling,Kontantsstøtte,Erstatte statlig kontantstøtte med kommunal kontantstøtte.,56280,Frp  ,Tiina
Familie og likestilling,Kontantsstøtte,Øke kontantstøtten.,54378 / 54379,KrF ,Tiina
Landbruk og fiskeri,Dyrepoliti,Innføre nasjonalt dyrepoliti.,55797 / 57641,FrP / V,Tiina
Landbruk og fiskeri,Dyrepoliti,Fortsette dagens forsøksprosjekt med dyrepoliti.,60564 / 61586,H / MDG  ,Tiina
Helse og omsorg,Taxfree-ordningen,Vinmonopolet overtar taxfree-salget.,60767 / 56615 /  55005,Sp /  A / KrF,Tiina
Helse og omsorg,Taxfree-ordningen,Avskaffe hele taxfree-ordningen. ,58975,SV ,Tiina
Familie og likestilling,Surrogati,Ikke tillate surrogati.,56638 / 60474 / 54408 / 61155 / 59175,A / H / KrF / Sp / SV,Tiina
Familie og likestilling,Surrogati,Tillate altruistisk surrogati i Norge.,61155,V ,Tiina
Familie og likestilling,Eggdonasjon,Åpne for eggdonasjon i Norge. ,58404 / 59210 / 56636 / 62224,V / SV / A / MDG,Tiina
Familie og likestilling,Eggdonasjon,Ikke tillate eggdonasjon. ,54956 / 61157,KrF / Sp /,Tiina
Klima og miljø,Mikroplast i forbruksvarer,Forby mikroplast i kroppspleieprodukter.,55114 / 60889 / 57603,KrF /  Sp / V ,Tiina
Klima og miljø,Mikroplast i forbruksvarer,Redusere bruk av mikroplast.,56704 / 60550 / 61566 / 59037,A / H / MDG / SV,
Klima og miljø,Mikroplast i forbruksvarer,Merke produkter som inneholder mikroplast. ,55777 / 61576,FrP / MDG / ,Tiina
"Kultur, religion og frivillighet",Pressestøtte,Øke pressestøtten.,59279 / 61399 ,SV / Sp ,Tiina
"Kultur, religion og frivillighet",Pressestøtte,Redusere pressestøtten.,56276,FrP,Tiina 
"Kultur, religion og frivillighet",Pressestøtte,Videreføre pressestøtten.,54638 / 58491,KrF / V,Tiina
Arbeid og sosial,Aktivitetsplikt,Innføre aktivitetsplikt for alle sosialhjelpsmottakere.,,Frp / H ,Tiina
Arbeid og sosial,Aktivitetsplikt,Innføre aktivitetsplikt for sosialhjelpsmottakere under 30 år.,,Sp,Tiina
Arbeid og sosial,Midlertidige ansettelser,Fjerne den generelle adgangen til midlertidige ansettelser.,56360,A ,Tiina
Arbeid og sosial,Midlertidige ansettelser,Myke opp reglene for midlertidig ansettelser.,56024,FrP   ,Tiina
